user_id,fitness_level,goal,duration_range,equipment,height,weight,bmi_category,limitations
user_32,intermediate,endurance,10-20,none,170.5,60.2,normal,[]
user_33,intermediate,power,20+,kettlebell,180.5,60.6,normal,[]
user_34,intermediate,endurance,5-10,gym,175.0,83.0,overweight,[]
user_35,beginner,endurance,5-10,kettlebell,179.5,89.0,overweight,[]
user_36,pro,power,10-20,kettlebell,154.8,62.7,overweight,[]
user_37,intermediate,endurance,5-10,none,167.6,98.1,obese,"[np.str_('shoulder_injury'), np.str_('joint_problems')]"
user_38,beginner,power,10-20,none,184.4,48.5,underweight,[]
user_39,pro,power,5-10,none,168.0,70.9,overweight,[]
user_40,pro,power,10-20,kettlebell,191.3,40.7,underweight,[]
user_41,beginner,warm-up,20+,none,165.1,73.1,overweight,[]
user_42,pro,endurance,20+,none,173.6,59.6,normal,[]
user_43,pro,power,20+,none,175.5,59.3,normal,[]
user_44,pro,endurance,10-20,gym,175.5,67.0,normal,[]
user_45,intermediate,power,10-20,none,170.1,84.0,overweight,[]
user_46,beginner,warm-up,10-20,none,173.2,68.0,normal,[]
user_47,intermediate,power,10-20,none,182.0,52.1,underweight,[]
user_48,intermediate,power,5-10,kettlebell,170.8,59.8,normal,[]
user_49,pro,endurance,5-10,none,176.1,90.4,overweight,[np.str_('high_blood_pressure')]
user_50,beginner,power,5-10,kettlebell,172.9,67.2,normal,[]
user_51,beginner,power,10-20,none,159.8,82.5,obese,[]
user_52,intermediate,endurance,10-20,kettlebell,178.5,81.5,overweight,[]
user_53,intermediate,power,5-10,kettlebell,161.5,69.3,overweight,[]
user_54,intermediate,warm-up,20+,kettlebell,167.3,68.4,normal,[]
user_55,pro,endurance,10-20,none,165.3,61.7,normal,[]
user_56,pro,power,10-20,gym,168.6,61.0,normal,[np.str_('knee_pain')]
user_57,intermediate,endurance,20+,gym,173.4,98.1,obese,[]
user_58,pro,power,5-10,gym,177.4,92.1,overweight,[]
user_59,pro,warm-up,5-10,none,181.8,63.0,normal,[]
user_60,beginner,power,10-20,gym,172.8,74.2,normal,[]
user_61,intermediate,endurance,5-10,gym,170.1,70.7,normal,[]
user_62,pro,warm-up,5-10,kettlebell,156.3,78.0,obese,[]
user_63,intermediate,endurance,5-10,kettlebell,185.5,71.7,normal,[]
user_64,pro,power,10-20,gym,159.8,66.0,overweight,[np.str_('high_blood_pressure')]
user_65,beginner,endurance,10-20,kettlebell,158.2,39.4,underweight,[]
user_66,beginner,power,10-20,none,179.8,75.0,normal,[]
user_67,beginner,warm-up,10-20,none,173.8,69.5,normal,[]
user_68,beginner,power,5-10,none,159.0,77.3,obese,[]
user_69,pro,endurance,10-20,none,164.7,58.1,normal,[np.str_('joint_problems')]
user_70,beginner,power,10-20,none,175.1,88.1,overweight,"[np.str_('joint_problems'), np.str_('heart_condition')]"
user_71,intermediate,endurance,5-10,none,193.7,65.3,underweight,[]
user_72,intermediate,power,5-10,none,175.8,74.7,normal,[]
user_73,intermediate,endurance,10-20,kettlebell,161.9,56.4,normal,[]
user_74,beginner,endurance,5-10,none,186.9,83.2,normal,[]
user_75,intermediate,endurance,10-20,kettlebell,165.6,93.7,obese,[np.str_('shoulder_injury')]
user_76,beginner,warm-up,10-20,none,163.5,62.7,normal,"[np.str_('joint_problems'), np.str_('back_pain')]"
user_77,intermediate,warm-up,20+,kettlebell,169.9,76.8,overweight,[]
user_78,pro,power,10-20,kettlebell,165.7,77.4,overweight,[]
user_79,intermediate,endurance,10-20,kettlebell,179.9,81.5,overweight,"[np.str_('back_pain'), np.str_('knee_pain')]"
user_80,beginner,endurance,10-20,kettlebell,176.3,54.8,underweight,[np.str_('joint_problems')]
user_81,intermediate,power,5-10,gym,164.4,92.6,obese,[]
user_82,pro,endurance,10-20,gym,175.8,77.5,overweight,[]
user_83,intermediate,warm-up,5-10,none,177.4,73.7,normal,[]
user_84,intermediate,power,10-20,gym,172.5,82.1,overweight,[]
user_85,intermediate,power,10-20,none,162.5,70.8,overweight,[]
user_86,intermediate,endurance,10-20,gym,161.2,77.7,overweight,[]
user_87,intermediate,power,10-20,gym,178.3,85.1,overweight,[]
user_88,beginner,endurance,10-20,kettlebell,165.9,73.9,overweight,[]
user_89,beginner,endurance,10-20,kettlebell,159.8,114.6,obese,[]
user_90,intermediate,endurance,10-20,kettlebell,177.2,93.5,overweight,[]
user_91,pro,endurance,5-10,kettlebell,178.1,47.5,underweight,[]
user_92,beginner,endurance,5-10,gym,161.2,73.1,overweight,[]
user_93,intermediate,endurance,10-20,gym,163.7,67.2,overweight,"[np.str_('heart_condition'), np.str_('back_pain')]"
user_94,beginner,endurance,5-10,gym,157.7,53.5,normal,[]
user_95,intermediate,endurance,10-20,none,174.8,89.8,overweight,"[np.str_('heart_condition'), np.str_('joint_problems')]"
user_96,intermediate,endurance,5-10,kettlebell,167.5,65.9,normal,[]
user_97,intermediate,warm-up,10-20,kettlebell,159.8,77.8,obese,[]
user_98,beginner,endurance,5-10,gym,195.7,70.9,normal,[np.str_('back_pain')]
user_99,intermediate,power,5-10,gym,183.9,30.1,underweight,[]
user_100,intermediate,power,5-10,none,155.9,58.3,normal,[]
user_101,intermediate,endurance,5-10,gym,169.1,70.4,normal,[]
user_102,beginner,power,5-10,none,164.8,77.3,overweight,[]
user_103,beginner,endurance,5-10,gym,172.3,73.8,normal,[]
user_104,intermediate,endurance,5-10,gym,173.3,51.2,underweight,[]
user_105,pro,warm-up,10-20,none,183.2,43.7,underweight,[]
user_106,intermediate,endurance,10-20,kettlebell,172.1,68.5,normal,[]
user_107,beginner,warm-up,10-20,gym,166.6,90.2,obese,"[np.str_('heart_condition'), np.str_('high_blood_pressure')]"
user_108,intermediate,endurance,5-10,gym,181.0,87.3,overweight,[]
user_109,intermediate,warm-up,10-20,none,169.3,31.3,underweight,[]
user_110,beginner,endurance,5-10,none,160.9,82.7,obese,[]
user_111,intermediate,power,20+,kettlebell,165.8,91.8,obese,[]
user_112,pro,endurance,5-10,gym,178.2,68.1,normal,[]
user_113,intermediate,warm-up,10-20,gym,169.5,53.2,normal,[]
user_114,intermediate,endurance,20+,gym,165.2,104.5,obese,[]
user_115,beginner,endurance,10-20,kettlebell,162.0,68.9,overweight,"[np.str_('asthma'), np.str_('knee_pain')]"
user_116,beginner,warm-up,5-10,gym,156.8,66.6,overweight,[]
user_117,pro,power,20+,kettlebell,178.3,76.9,normal,[]
user_118,intermediate,endurance,20+,gym,178.2,72.0,normal,[np.str_('asthma')]
user_119,intermediate,warm-up,20+,none,155.9,77.5,obese,"[np.str_('knee_pain'), np.str_('high_blood_pressure')]"
user_120,intermediate,warm-up,10-20,kettlebell,171.5,95.7,obese,[]
user_121,pro,endurance,10-20,gym,176.4,67.4,normal,"[np.str_('shoulder_injury'), np.str_('joint_problems')]"
user_122,intermediate,power,5-10,none,167.3,60.0,normal,[]
user_123,intermediate,endurance,10-20,none,174.5,81.2,overweight,[]
user_124,beginner,warm-up,5-10,none,160.5,65.9,overweight,[]
user_125,intermediate,endurance,10-20,gym,172.4,83.9,overweight,[]
user_126,pro,power,5-10,kettlebell,165.2,79.0,overweight,[]
user_127,beginner,endurance,10-20,none,175.2,87.9,overweight,[]
user_128,intermediate,power,10-20,none,151.7,117.5,obese,[]
user_129,pro,endurance,10-20,gym,168.7,86.9,obese,[]
user_130,beginner,endurance,5-10,gym,169.3,67.2,normal,[]
user_131,intermediate,endurance,5-10,none,167.6,71.5,overweight,[]
user_132,pro,endurance,20+,gym,179.1,70.5,normal,[]
user_133,intermediate,power,20+,gym,181.0,71.0,normal,[]
user_134,beginner,endurance,10-20,none,160.7,78.9,obese,[]
user_135,pro,endurance,20+,none,164.6,79.6,overweight,[]
user_136,beginner,power,10-20,none,176.5,41.6,underweight,"[np.str_('knee_pain'), np.str_('joint_problems')]"
user_137,intermediate,warm-up,10-20,none,177.7,80.2,overweight,"[np.str_('pregnancy'), np.str_('asthma')]"
user_138,intermediate,endurance,10-20,none,173.7,62.1,normal,[np.str_('joint_problems')]
user_139,beginner,endurance,20+,none,170.9,87.5,overweight,[]
user_140,beginner,warm-up,10-20,none,174.3,73.6,normal,[]
user_141,pro,power,10-20,none,181.6,56.1,underweight,[]
user_142,beginner,warm-up,10-20,kettlebell,195.2,45.2,underweight,[np.str_('joint_problems')]
user_143,beginner,power,5-10,gym,186.4,92.5,overweight,[]
user_144,intermediate,endurance,5-10,kettlebell,178.9,44.2,underweight,[]
user_145,pro,endurance,10-20,kettlebell,173.3,68.9,normal,[]
user_146,intermediate,power,20+,gym,179.4,82.7,overweight,"[np.str_('shoulder_injury'), np.str_('back_pain')]"
user_147,intermediate,warm-up,5-10,kettlebell,165.3,86.1,obese,[]
user_148,pro,endurance,10-20,gym,171.0,65.9,normal,[]
user_149,beginner,warm-up,10-20,kettlebell,154.7,82.9,obese,[]
user_150,pro,power,10-20,kettlebell,191.2,66.9,underweight,[]
user_151,intermediate,power,10-20,none,167.8,51.8,underweight,[]
user_152,intermediate,power,10-20,kettlebell,166.5,39.6,underweight,[]
user_153,pro,endurance,5-10,none,175.1,40.0,underweight,[]
user_154,beginner,endurance,5-10,kettlebell,174.8,63.7,normal,[np.str_('pregnancy')]
user_155,intermediate,power,10-20,kettlebell,169.2,64.4,normal,[]
user_156,intermediate,power,10-20,gym,161.1,49.6,normal,[]
user_157,intermediate,warm-up,5-10,gym,186.6,46.9,underweight,[]
user_158,beginner,power,10-20,none,161.1,67.9,overweight,[]
user_159,intermediate,power,10-20,none,156.7,86.1,obese,[]
user_160,pro,endurance,10-20,kettlebell,155.9,61.7,overweight,[]
user_161,pro,endurance,10-20,kettlebell,161.1,76.4,overweight,[]
user_162,intermediate,warm-up,5-10,none,184.0,45.9,underweight,[]
user_163,intermediate,power,10-20,kettlebell,171.7,86.3,overweight,[]
user_164,beginner,warm-up,5-10,none,171.5,62.8,normal,[]
user_165,beginner,endurance,5-10,kettlebell,161.2,94.2,obese,[]
user_166,intermediate,endurance,10-20,gym,154.6,77.6,obese,[]
user_167,beginner,power,5-10,none,162.7,77.6,overweight,[np.str_('heart_condition')]
user_168,intermediate,warm-up,20+,kettlebell,194.0,69.1,underweight,[]
user_169,intermediate,endurance,20+,kettlebell,159.2,80.0,obese,[]
user_170,beginner,power,5-10,kettlebell,169.4,74.9,overweight,[]
user_171,intermediate,power,10-20,gym,153.2,56.0,normal,[]
user_172,pro,power,10-20,kettlebell,168.5,71.9,overweight,[]
user_173,beginner,endurance,10-20,none,161.1,93.3,obese,[]
user_174,beginner,endurance,5-10,none,186.4,85.1,normal,[]
user_175,intermediate,endurance,20+,kettlebell,165.5,69.7,overweight,[]
user_176,beginner,endurance,10-20,kettlebell,183.8,78.5,normal,[]
user_177,intermediate,warm-up,5-10,none,167.5,75.9,overweight,[]
user_178,beginner,warm-up,10-20,none,153.1,68.5,overweight,[]
user_179,beginner,warm-up,10-20,none,185.1,81.6,normal,[]
user_180,intermediate,endurance,5-10,kettlebell,171.1,50.0,underweight,[]
user_181,beginner,power,5-10,gym,184.0,68.9,normal,[]
user_182,beginner,power,20+,kettlebell,170.5,70.6,normal,[]
user_183,beginner,power,10-20,gym,167.2,81.3,overweight,[]
user_184,intermediate,endurance,20+,kettlebell,163.3,74.2,overweight,[]
user_185,intermediate,power,5-10,gym,166.5,76.8,overweight,"[np.str_('knee_pain'), np.str_('back_pain')]"
user_186,beginner,power,5-10,none,176.7,46.8,underweight,[]
user_187,intermediate,endurance,10-20,none,180.4,62.2,normal,[]
user_188,beginner,warm-up,10-20,none,181.3,95.7,overweight,[]
user_189,beginner,endurance,10-20,kettlebell,174.9,84.5,overweight,"[np.str_('joint_problems'), np.str_('heart_condition')]"
user_190,beginner,power,20+,kettlebell,186.7,76.3,normal,[]
user_191,beginner,power,20+,none,160.1,79.4,obese,[]
user_192,beginner,endurance,10-20,none,180.9,79.1,normal,[]
user_193,beginner,endurance,5-10,gym,170.7,81.7,overweight,[]
user_194,intermediate,power,5-10,gym,171.3,67.7,normal,[]
user_195,intermediate,endurance,10-20,none,163.0,66.4,overweight,[]
user_196,intermediate,endurance,10-20,kettlebell,173.9,107.4,obese,[]
user_197,intermediate,warm-up,20+,none,165.6,87.5,obese,[]
user_198,pro,warm-up,10-20,none,168.3,58.7,normal,"[np.str_('joint_problems'), np.str_('knee_pain')]"
user_199,intermediate,endurance,10-20,kettlebell,164.8,84.0,obese,[]
user_200,pro,power,5-10,kettlebell,154.2,70.5,overweight,"[np.str_('shoulder_injury'), np.str_('pregnancy')]"
user_201,pro,endurance,5-10,kettlebell,156.9,46.6,normal,[]
user_202,beginner,endurance,10-20,gym,155.0,83.2,obese,[]
user_203,beginner,endurance,10-20,none,175.5,56.2,underweight,[]
user_204,intermediate,endurance,5-10,none,174.9,54.6,underweight,[]
user_205,intermediate,power,10-20,kettlebell,173.8,37.4,underweight,[]
user_206,beginner,endurance,20+,none,167.7,54.3,normal,[]
user_207,intermediate,power,5-10,kettlebell,179.4,62.6,normal,[]
user_208,beginner,endurance,5-10,none,178.2,50.4,underweight,[]
user_209,beginner,endurance,5-10,gym,177.3,51.4,underweight,[]
user_210,intermediate,warm-up,10-20,gym,174.7,72.5,normal,[]
user_211,beginner,endurance,20+,none,175.9,77.6,overweight,[]
user_212,beginner,endurance,5-10,gym,180.1,68.0,normal,"[np.str_('back_pain'), np.str_('shoulder_injury')]"
user_213,intermediate,endurance,5-10,none,156.5,55.4,normal,[]
user_214,intermediate,power,5-10,none,172.8,59.4,normal,[]
user_215,beginner,endurance,5-10,gym,180.0,58.6,underweight,[]
user_216,beginner,endurance,5-10,kettlebell,176.4,88.4,overweight,[]
user_217,beginner,warm-up,10-20,none,170.6,74.0,overweight,[]
user_218,intermediate,warm-up,10-20,none,175.6,66.8,normal,[]
user_219,beginner,endurance,10-20,kettlebell,167.8,65.8,normal,[]
user_220,intermediate,endurance,20+,gym,178.4,57.8,underweight,[]
user_221,pro,power,10-20,kettlebell,171.8,50.5,underweight,[]
user_222,pro,endurance,5-10,none,178.1,78.7,normal,[]
user_223,intermediate,warm-up,10-20,kettlebell,172.4,109.0,obese,[]
user_224,intermediate,power,20+,kettlebell,163.8,77.2,overweight,[]
user_225,beginner,endurance,10-20,gym,167.9,57.2,normal,[]
user_226,beginner,power,10-20,kettlebell,164.9,53.3,normal,[]
user_227,intermediate,endurance,10-20,none,162.2,79.7,obese,[]
user_228,beginner,endurance,5-10,none,161.8,38.6,underweight,[]
user_229,pro,power,10-20,kettlebell,154.7,88.9,obese,[]
user_230,beginner,power,10-20,kettlebell,171.3,59.7,normal,[]
user_231,intermediate,power,10-20,gym,177.8,61.7,normal,[]
user_232,beginner,endurance,10-20,gym,179.5,80.2,normal,[]
user_233,intermediate,endurance,10-20,kettlebell,169.2,68.2,normal,[]
user_234,intermediate,warm-up,20+,kettlebell,188.6,53.8,underweight,[]
user_235,beginner,endurance,20+,none,188.8,93.1,overweight,[np.str_('heart_condition')]
user_236,pro,endurance,10-20,none,180.3,67.1,normal,[]
user_237,beginner,warm-up,10-20,kettlebell,169.7,96.6,obese,[]
user_238,intermediate,power,5-10,kettlebell,174.0,61.4,normal,[]
user_239,pro,endurance,5-10,none,161.2,57.6,normal,[]
user_240,beginner,endurance,10-20,kettlebell,164.7,69.8,overweight,"[np.str_('pregnancy'), np.str_('joint_problems')]"
user_241,beginner,warm-up,5-10,kettlebell,170.7,77.7,overweight,[]
user_242,beginner,endurance,5-10,gym,158.9,78.5,obese,[]
user_243,intermediate,warm-up,10-20,none,162.7,57.8,normal,[]
user_244,intermediate,power,5-10,gym,167.0,72.3,overweight,[]
user_245,intermediate,endurance,10-20,kettlebell,174.4,83.6,overweight,[]
user_246,intermediate,power,10-20,none,184.0,70.9,normal,[]
user_247,beginner,power,5-10,none,165.2,55.7,normal,[]
user_248,intermediate,endurance,20+,gym,166.4,77.7,overweight,[]
user_249,pro,power,5-10,none,178.8,68.8,normal,[]
user_250,intermediate,endurance,10-20,gym,183.1,61.5,underweight,[]
user_251,beginner,power,5-10,gym,188.7,86.2,normal,[]
user_252,beginner,warm-up,10-20,none,179.8,79.8,normal,[]
user_253,pro,warm-up,5-10,gym,166.7,63.9,normal,[np.str_('knee_pain')]
user_254,pro,warm-up,5-10,gym,159.4,69.4,overweight,[]
user_255,beginner,warm-up,20+,kettlebell,173.9,58.4,normal,"[np.str_('shoulder_injury'), np.str_('joint_problems')]"
user_256,pro,endurance,5-10,gym,172.9,63.6,normal,[]
user_257,pro,power,10-20,none,171.3,71.7,normal,[]
user_258,beginner,endurance,5-10,gym,178.6,67.5,normal,[]
user_259,beginner,power,10-20,kettlebell,178.0,79.3,overweight,[]
user_260,beginner,endurance,10-20,none,160.8,77.6,obese,[]
user_261,pro,endurance,5-10,none,166.6,76.5,overweight,[]
user_262,beginner,power,10-20,gym,168.0,74.5,overweight,[]
user_263,beginner,warm-up,10-20,gym,154.4,48.6,normal,[]
user_264,beginner,endurance,10-20,gym,166.2,69.8,overweight,[]
user_265,beginner,warm-up,5-10,gym,178.4,77.4,normal,[]
user_266,intermediate,power,10-20,kettlebell,162.2,101.4,obese,[]
user_267,beginner,endurance,5-10,none,153.0,77.9,obese,[]
user_268,beginner,endurance,10-20,kettlebell,166.4,81.9,overweight,[]
user_269,pro,power,10-20,gym,164.4,44.6,underweight,[]
user_270,intermediate,power,10-20,none,169.4,47.2,underweight,[]
user_271,intermediate,endurance,20+,none,164.8,73.6,overweight,[]
user_272,intermediate,endurance,10-20,none,184.3,65.9,normal,[]
user_273,intermediate,endurance,5-10,gym,167.9,43.8,underweight,[]
user_274,beginner,endurance,20+,none,171.1,63.0,normal,[]
user_275,beginner,endurance,10-20,kettlebell,164.4,104.2,obese,[]
user_276,intermediate,power,10-20,gym,165.2,81.6,overweight,[]
user_277,intermediate,endurance,10-20,none,178.3,61.3,normal,[]
user_278,pro,power,20+,kettlebell,169.4,61.1,normal,[]
user_279,beginner,endurance,10-20,gym,158.2,82.5,obese,[]
user_280,beginner,power,20+,gym,178.1,78.0,normal,"[np.str_('asthma'), np.str_('shoulder_injury')]"
user_281,intermediate,endurance,10-20,kettlebell,167.9,82.9,overweight,[]
user_282,intermediate,endurance,10-20,kettlebell,172.3,83.7,overweight,[]
user_283,beginner,endurance,5-10,none,183.3,81.4,normal,[]
user_284,pro,warm-up,20+,kettlebell,145.5,93.4,obese,[np.str_('joint_problems')]
user_285,intermediate,power,20+,kettlebell,188.4,58.8,underweight,[]
user_286,beginner,power,10-20,gym,172.9,73.9,normal,[]
user_287,intermediate,endurance,10-20,none,185.9,81.7,normal,[]
user_288,beginner,endurance,10-20,none,166.9,81.7,overweight,[np.str_('pregnancy')]
user_289,beginner,endurance,10-20,kettlebell,153.7,89.1,obese,[]
user_290,pro,endurance,10-20,none,165.3,69.8,overweight,[]
user_291,pro,endurance,5-10,none,159.0,64.6,overweight,[np.str_('shoulder_injury')]
user_292,beginner,endurance,10-20,kettlebell,170.1,72.3,normal,[np.str_('joint_problems')]
user_293,pro,endurance,10-20,none,176.6,62.6,normal,[]
user_294,pro,power,5-10,kettlebell,158.9,81.2,obese,[]
user_295,intermediate,endurance,10-20,gym,173.2,64.6,normal,[]
user_296,intermediate,power,10-20,none,168.1,91.6,obese,[]
user_297,beginner,warm-up,10-20,gym,172.6,54.7,underweight,[]
user_298,beginner,endurance,5-10,gym,163.2,71.1,overweight,[]
user_299,intermediate,endurance,20+,gym,160.9,70.4,overweight,[]
user_300,intermediate,endurance,10-20,kettlebell,151.9,99.0,obese,[]
user_301,pro,endurance,10-20,gym,148.0,44.3,normal,[]
user_302,intermediate,warm-up,10-20,gym,156.2,84.4,obese,[]
user_303,beginner,endurance,5-10,gym,177.2,57.1,underweight,[]
user_304,pro,endurance,20+,kettlebell,184.3,89.6,overweight,[]
user_305,beginner,power,10-20,gym,182.1,48.4,underweight,[np.str_('pregnancy')]
user_306,intermediate,endurance,10-20,gym,179.6,53.1,underweight,[np.str_('high_blood_pressure')]
user_307,beginner,warm-up,10-20,none,170.0,57.7,normal,[]
user_308,intermediate,endurance,5-10,kettlebell,160.0,58.5,normal,[]
user_309,pro,warm-up,10-20,gym,167.4,39.9,underweight,[]
user_310,intermediate,warm-up,10-20,none,161.5,75.0,overweight,[]
user_311,intermediate,endurance,10-20,kettlebell,172.1,62.6,normal,[]
user_312,intermediate,warm-up,20+,kettlebell,158.4,71.0,overweight,[]
user_313,beginner,endurance,5-10,none,164.8,72.3,overweight,[]
user_314,beginner,endurance,10-20,none,179.6,54.5,underweight,"[np.str_('shoulder_injury'), np.str_('back_pain')]"
user_315,beginner,endurance,10-20,none,165.2,83.1,obese,[]
user_316,pro,endurance,20+,none,169.3,99.7,obese,[]
user_317,intermediate,power,5-10,none,179.7,88.5,overweight,[]
user_318,intermediate,warm-up,10-20,none,172.0,65.7,normal,[]
user_319,beginner,endurance,20+,kettlebell,155.6,35.6,underweight,[]
user_320,beginner,endurance,5-10,gym,182.4,65.2,normal,[]
user_321,beginner,power,10-20,gym,176.7,53.9,underweight,[]
user_322,beginner,endurance,10-20,gym,180.8,49.5,underweight,[]
user_323,intermediate,endurance,20+,none,164.6,67.6,normal,"[np.str_('high_blood_pressure'), np.str_('shoulder_injury')]"
user_324,pro,warm-up,10-20,gym,176.6,65.9,normal,[]
user_325,intermediate,warm-up,5-10,none,167.3,93.5,obese,[]
user_326,beginner,endurance,20+,kettlebell,168.1,59.6,normal,[]
user_327,beginner,endurance,10-20,none,161.5,81.0,obese,[]
user_328,intermediate,power,10-20,kettlebell,173.6,81.5,overweight,[]
user_329,pro,power,5-10,none,173.1,72.2,normal,[]
user_330,intermediate,endurance,10-20,kettlebell,191.3,76.5,normal,[]
user_331,intermediate,power,5-10,gym,178.3,73.8,normal,[]
user_332,beginner,endurance,20+,kettlebell,181.2,77.8,normal,[]
user_333,beginner,power,10-20,none,181.1,86.7,overweight,[]
user_334,intermediate,endurance,5-10,kettlebell,180.4,58.2,underweight,[]
user_335,pro,warm-up,10-20,gym,172.8,93.5,obese,[np.str_('back_pain')]
user_336,intermediate,endurance,20+,kettlebell,186.2,53.5,underweight,"[np.str_('pregnancy'), np.str_('high_blood_pressure')]"
user_337,beginner,endurance,10-20,none,171.6,70.6,normal,[np.str_('pregnancy')]
user_338,intermediate,warm-up,10-20,none,188.0,67.1,normal,[]
user_339,intermediate,power,5-10,kettlebell,169.9,93.4,obese,"[np.str_('high_blood_pressure'), np.str_('knee_pain')]"
user_340,beginner,warm-up,5-10,kettlebell,163.9,81.4,obese,[]
user_341,intermediate,warm-up,5-10,gym,169.9,79.2,overweight,[]
user_342,intermediate,power,5-10,none,169.2,59.9,normal,[]
user_343,intermediate,warm-up,10-20,kettlebell,181.3,65.9,normal,[]
user_344,pro,warm-up,5-10,gym,162.0,81.2,obese,[]
user_345,beginner,power,5-10,kettlebell,174.9,95.5,obese,[]
user_346,beginner,warm-up,5-10,kettlebell,184.2,62.0,underweight,[]
user_347,pro,power,5-10,none,177.5,45.6,underweight,"[np.str_('asthma'), np.str_('joint_problems')]"
user_348,intermediate,endurance,20+,none,179.0,81.2,overweight,[]
user_349,pro,power,10-20,none,173.7,67.3,normal,[]
user_350,intermediate,power,10-20,none,183.7,57.3,underweight,[]
user_351,beginner,endurance,10-20,gym,181.1,56.4,underweight,[]
user_352,intermediate,power,10-20,gym,164.3,81.0,obese,[]
user_353,beginner,endurance,20+,kettlebell,177.1,58.7,normal,[]
user_354,beginner,endurance,10-20,gym,152.5,72.0,obese,[]
user_355,intermediate,endurance,20+,kettlebell,171.7,54.1,underweight,[]
user_356,intermediate,endurance,20+,kettlebell,166.5,64.3,normal,"[np.str_('heart_condition'), np.str_('shoulder_injury')]"
user_357,beginner,endurance,5-10,none,160.6,76.8,overweight,[np.str_('joint_problems')]
user_358,beginner,power,10-20,none,169.4,76.8,overweight,[]
user_359,intermediate,warm-up,10-20,gym,170.1,60.1,normal,[]
user_360,pro,endurance,20+,kettlebell,160.0,65.8,overweight,[]
user_361,beginner,endurance,5-10,gym,180.6,79.3,normal,[]
user_362,intermediate,power,20+,gym,170.7,60.4,normal,[]
user_363,beginner,endurance,10-20,none,163.7,93.0,obese,[np.str_('heart_condition')]
user_364,beginner,endurance,10-20,gym,177.0,82.8,overweight,[np.str_('joint_problems')]
user_365,intermediate,warm-up,5-10,kettlebell,167.7,56.1,normal,[]
user_366,intermediate,endurance,10-20,none,161.7,60.1,normal,[]
user_367,beginner,endurance,10-20,gym,162.8,72.7,overweight,"[np.str_('pregnancy'), np.str_('back_pain')]"
user_368,beginner,power,10-20,gym,180.1,39.9,underweight,[]
user_369,intermediate,power,10-20,none,168.7,54.9,normal,[]
user_370,beginner,warm-up,5-10,gym,155.6,91.5,obese,[np.str_('back_pain')]
user_371,beginner,power,10-20,gym,176.5,53.2,underweight,[]
user_372,intermediate,endurance,20+,none,173.5,74.5,normal,[]
user_373,intermediate,endurance,20+,none,189.7,78.1,normal,[]
user_374,beginner,power,20+,none,160.3,41.8,underweight,[]
user_375,intermediate,power,10-20,none,167.3,83.4,overweight,[]
user_376,beginner,power,10-20,kettlebell,179.8,58.7,underweight,[]
user_377,beginner,power,10-20,gym,180.0,66.4,normal,[]
