planName,skillLevel,goal,equipment,durationMinutes,focus,exercises,exerciseDetails
Pro Power - 20+ minutes (Kettlebell),Pro,Power,Kettlebell,18,Power,Jumping Jacks;Arm Circles;Plyometric Push-ups;Kettlebell Swings,"[{""name"": ""Jumping Jacks"", ""duration"": 118, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Arm Circles"", ""duration"": 62, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Plyometric Push-ups"", ""duration"": 106, ""sets"": 4, ""rest"": 24, ""category"": ""power""}, {""name"": ""Kettlebell Swings"", ""duration"": 123, ""sets"": 3, ""rest"": 24, ""category"": ""power""}]"
Intermediate Endurance - 20+ minutes (Gym),Intermediate,Endurance,Gym,26,Endurance,Jumping Jacks;High Knees;Arm Circles;Rowing Intervals;Rowing Machine;Battle Ropes,"[{""name"": ""Jumping Jacks"", ""duration"": 79, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""High Knees"", ""duration"": 70, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Arm Circles"", ""duration"": 75, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Rowing Intervals"", ""duration"": 209, ""sets"": 3, ""rest"": 30, ""category"": ""stamina""}, {""name"": ""Rowing Machine"", ""duration"": 205, ""sets"": 2, ""rest"": 20, ""category"": ""endurance""}, {""name"": ""Battle Ropes"", ""duration"": 83, ""sets"": 2, ""rest"": 30, ""category"": ""stamina""}]"
Pro Stamina - 10-20 minutes (None),Pro,Stamina,None,14,Stamina,Butt Kicks;Jumping Jacks;Shuttle Runs;Broad Jumps,"[{""name"": ""Butt Kicks"", ""duration"": 109, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jumping Jacks"", ""duration"": 109, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Shuttle Runs"", ""duration"": 141, ""sets"": 2, ""rest"": 24, ""category"": ""stamina""}, {""name"": ""Broad Jumps"", ""duration"": 91, ""sets"": 3, ""rest"": 24, ""category"": ""power""}]"
Intermediate Stamina - 5-10 minutes (Kettlebell),Intermediate,Stamina,Kettlebell,7,Stamina,Arm Circles;Plyometric Push-ups;Mountain Climbers,"[{""name"": ""Arm Circles"", ""duration"": 64, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Plyometric Push-ups"", ""duration"": 47, ""sets"": 2, ""rest"": 30, ""category"": ""power""}, {""name"": ""Mountain Climbers"", ""duration"": 106, ""sets"": 2, ""rest"": 30, ""category"": ""stamina""}]"
Intermediate Power - 5-10 minutes (None),Intermediate,Power,None,4,Power,Jumping Jacks;Plyometric Push-ups,"[{""name"": ""Jumping Jacks"", ""duration"": 83, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Plyometric Push-ups"", ""duration"": 41, ""sets"": 3, ""rest"": 30, ""category"": ""power""}]"
Intermediate Stamina - 10-20 minutes (Gym),Intermediate,Stamina,Gym,14,Stamina,Leg Swings;High Knees;Jump Squats;Jump Rope,"[{""name"": ""Leg Swings"", ""duration"": 73, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""High Knees"", ""duration"": 64, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jump Squats"", ""duration"": 46, ""sets"": 2, ""rest"": 30, ""category"": ""power""}, {""name"": ""Jump Rope"", ""duration"": 176, ""sets"": 3, ""rest"": 30, ""category"": ""endurance""}]"
Pro Endurance - 10-20 minutes (Kettlebell),Pro,Endurance,Kettlebell,8,Endurance,High Knees;Jumping Jacks;Shuttle Runs,"[{""name"": ""High Knees"", ""duration"": 91, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jumping Jacks"", ""duration"": 101, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Shuttle Runs"", ""duration"": 136, ""sets"": 2, ""rest"": 24, ""category"": ""stamina""}]"
Pro Stamina - 20+ minutes (Gym),Pro,Stamina,Gym,23,Stamina,Leg Swings;Butt Kicks;Jumping Jacks;Mountain Climbers;Jump Rope;Shuttle Runs,"[{""name"": ""Leg Swings"", ""duration"": 96, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Butt Kicks"", ""duration"": 72, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jumping Jacks"", ""duration"": 141, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Mountain Climbers"", ""duration"": 83, ""sets"": 3, ""rest"": 24, ""category"": ""stamina""}, {""name"": ""Jump Rope"", ""duration"": 244, ""sets"": 2, ""rest"": 24, ""category"": ""endurance""}, {""name"": ""Shuttle Runs"", ""duration"": 122, ""sets"": 2, ""rest"": 24, ""category"": ""stamina""}]"
Beginner Fat Loss - 20+ minutes (None),Beginner,Fat Loss,None,2,Fat Loss,Arm Circles;Jumping Jacks,"[{""name"": ""Arm Circles"", ""duration"": 56, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jumping Jacks"", ""duration"": 48, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}]"
Intermediate Stamina - 10-20 minutes (Kettlebell),Intermediate,Stamina,Kettlebell,13,Stamina,Arm Circles;Jumping Jacks;Mountain Climbers;Kettlebell Swings;Plyometric Push-ups,"[{""name"": ""Arm Circles"", ""duration"": 60, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jumping Jacks"", ""duration"": 100, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Mountain Climbers"", ""duration"": 52, ""sets"": 3, ""rest"": 30, ""category"": ""stamina""}, {""name"": ""Kettlebell Swings"", ""duration"": 70, ""sets"": 2, ""rest"": 30, ""category"": ""power""}, {""name"": ""Plyometric Push-ups"", ""duration"": 49, ""sets"": 3, ""rest"": 30, ""category"": ""power""}]"
Pro Endurance - 20+ minutes (None),Pro,Endurance,None,28,Endurance,Arm Circles;Butt Kicks;High Knees;Fartlek Training,"[{""name"": ""Arm Circles"", ""duration"": 115, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Butt Kicks"", ""duration"": 89, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""High Knees"", ""duration"": 84, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Fartlek Training"", ""duration"": 666, ""sets"": 2, ""rest"": 24, ""category"": ""stamina""}]"
Beginner Stamina - 20+ minutes (Kettlebell),Beginner,Stamina,Kettlebell,14,Stamina,Butt Kicks;Jumping Jacks;Arm Circles;Jump Rope;Mountain Climbers,"[{""name"": ""Butt Kicks"", ""duration"": 62, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jumping Jacks"", ""duration"": 44, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Arm Circles"", ""duration"": 50, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jump Rope"", ""duration"": 203, ""sets"": 2, ""rest"": 39, ""category"": ""endurance""}, {""name"": ""Mountain Climbers"", ""duration"": 81, ""sets"": 2, ""rest"": 39, ""category"": ""stamina""}]"
Beginner Endurance - 10-20 minutes (Gym),Beginner,Endurance,Gym,14,Endurance,High Knees;Leg Swings;Jumping Jacks;Rowing Machine,"[{""name"": ""High Knees"", ""duration"": 51, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Leg Swings"", ""duration"": 62, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jumping Jacks"", ""duration"": 48, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Rowing Machine"", ""duration"": 319, ""sets"": 2, ""rest"": 26, ""category"": ""endurance""}]"
Beginner Stamina - 5-10 minutes (None),Beginner,Stamina,None,7,Stamina,Leg Swings;High Knees;Jump Squats;Jump Rope,"[{""name"": ""Leg Swings"", ""duration"": 45, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""High Knees"", ""duration"": 51, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jump Squats"", ""duration"": 30, ""sets"": 2, ""rest"": 39, ""category"": ""power""}, {""name"": ""Jump Rope"", ""duration"": 88, ""sets"": 2, ""rest"": 39, ""category"": ""endurance""}]"
Intermediate Endurance - 10-20 minutes (Gym),Intermediate,Endurance,Gym,15,Endurance,Arm Circles;High Knees;Brisk Walking;Battle Ropes,"[{""name"": ""Arm Circles"", ""duration"": 55, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""High Knees"", ""duration"": 73, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Brisk Walking"", ""duration"": 332, ""sets"": 2, ""rest"": 20, ""category"": ""endurance""}, {""name"": ""Battle Ropes"", ""duration"": 38, ""sets"": 2, ""rest"": 30, ""category"": ""stamina""}]"
Pro Power - 5-10 minutes (Kettlebell),Pro,Power,Kettlebell,7,Power,Butt Kicks;Broad Jumps,"[{""name"": ""Butt Kicks"", ""duration"": 72, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Broad Jumps"", ""duration"": 97, ""sets"": 3, ""rest"": 24, ""category"": ""power""}]"
Pro Power - 5-10 minutes (Kettlebell),Pro,Power,Kettlebell,6,Power,Jumping Jacks;Tuck Jumps,"[{""name"": ""Jumping Jacks"", ""duration"": 80, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Tuck Jumps"", ""duration"": 78, ""sets"": 3, ""rest"": 24, ""category"": ""power""}]"
Pro Stamina - 20+ minutes (Gym),Pro,Stamina,Gym,26,Stamina,Jumping Jacks;Arm Circles;Circuit Training,"[{""name"": ""Jumping Jacks"", ""duration"": 117, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Arm Circles"", ""duration"": 74, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Circuit Training"", ""duration"": 447, ""sets"": 3, ""rest"": 24, ""category"": ""stamina""}]"
Intermediate Endurance - 20+ minutes (Kettlebell),Intermediate,Endurance,Kettlebell,28,Endurance,Leg Swings;Arm Circles;Jumping Jacks;Mountain Climbers;Tabata Intervals,"[{""name"": ""Leg Swings"", ""duration"": 82, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Arm Circles"", ""duration"": 58, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jumping Jacks"", ""duration"": 69, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Mountain Climbers"", ""duration"": 99, ""sets"": 3, ""rest"": 30, ""category"": ""stamina""}, {""name"": ""Tabata Intervals"", ""duration"": 348, ""sets"": 3, ""rest"": 30, ""category"": ""stamina""}]"
Intermediate Fat Loss - 20+ minutes (Kettlebell),Intermediate,Fat Loss,Kettlebell,24,Fat Loss,High Knees;Leg Swings;Butt Kicks;Fartlek Training;Tuck Jumps,"[{""name"": ""High Knees"", ""duration"": 63, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Leg Swings"", ""duration"": 76, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Butt Kicks"", ""duration"": 80, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Fartlek Training"", ""duration"": 517, ""sets"": 2, ""rest"": 30, ""category"": ""stamina""}, {""name"": ""Tuck Jumps"", ""duration"": 41, ""sets"": 2, ""rest"": 30, ""category"": ""power""}]"
Beginner Fat Loss - 5-10 minutes (Kettlebell),Beginner,Fat Loss,Kettlebell,6,Fat Loss,Butt Kicks;Jumping Jacks;Mountain Climbers;Burpees,"[{""name"": ""Butt Kicks"", ""duration"": 36, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jumping Jacks"", ""duration"": 65, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Mountain Climbers"", ""duration"": 48, ""sets"": 2, ""rest"": 39, ""category"": ""stamina""}, {""name"": ""Burpees"", ""duration"": 48, ""sets"": 2, ""rest"": 39, ""category"": ""power""}]"
Beginner Power - 5-10 minutes (None),Beginner,Power,None,7,Power,Jumping Jacks;Jump Squats,"[{""name"": ""Jumping Jacks"", ""duration"": 76, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jump Squats"", ""duration"": 59, ""sets"": 4, ""rest"": 39, ""category"": ""power""}]"
Intermediate Fat Loss - 10-20 minutes (None),Intermediate,Fat Loss,None,16,Fat Loss,Arm Circles;High Knees;HIIT Sprints,"[{""name"": ""Arm Circles"", ""duration"": 63, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""High Knees"", ""duration"": 89, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""HIIT Sprints"", ""duration"": 185, ""sets"": 4, ""rest"": 30, ""category"": ""stamina""}]"
Beginner Stamina - 10-20 minutes (Gym),Beginner,Stamina,Gym,12,Stamina,Leg Swings;Jumping Jacks;Jogging;Jump Squats,"[{""name"": ""Leg Swings"", ""duration"": 62, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jumping Jacks"", ""duration"": 74, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jogging"", ""duration"": 133, ""sets"": 3, ""rest"": 26, ""category"": ""endurance""}, {""name"": ""Jump Squats"", ""duration"": 52, ""sets"": 2, ""rest"": 39, ""category"": ""power""}]"
Intermediate Power - 5-10 minutes (Gym),Intermediate,Power,Gym,8,Power,Leg Swings;Explosive Lunges,"[{""name"": ""Leg Swings"", ""duration"": 89, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Explosive Lunges"", ""duration"": 117, ""sets"": 3, ""rest"": 30, ""category"": ""power""}]"
Intermediate Stamina - 20+ minutes (Gym),Intermediate,Stamina,Gym,15,Stamina,Jumping Jacks;Arm Circles;Plyometric Push-ups;Medicine Ball Slams;Kettlebell Swings,"[{""name"": ""Jumping Jacks"", ""duration"": 91, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Arm Circles"", ""duration"": 74, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Plyometric Push-ups"", ""duration"": 42, ""sets"": 3, ""rest"": 30, ""category"": ""power""}, {""name"": ""Medicine Ball Slams"", ""duration"": 71, ""sets"": 2, ""rest"": 30, ""category"": ""power""}, {""name"": ""Kettlebell Swings"", ""duration"": 164, ""sets"": 2, ""rest"": 30, ""category"": ""power""}]"
Intermediate Stamina - 10-20 minutes (Gym),Intermediate,Stamina,Gym,15,Stamina,Jumping Jacks;Arm Circles;Kettlebell Swings;Plyometric Push-ups;Mountain Climbers,"[{""name"": ""Jumping Jacks"", ""duration"": 80, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Arm Circles"", ""duration"": 53, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Kettlebell Swings"", ""duration"": 75, ""sets"": 3, ""rest"": 30, ""category"": ""power""}, {""name"": ""Plyometric Push-ups"", ""duration"": 44, ""sets"": 2, ""rest"": 30, ""category"": ""power""}, {""name"": ""Mountain Climbers"", ""duration"": 104, ""sets"": 3, ""rest"": 30, ""category"": ""stamina""}]"
Beginner Power - 10-20 minutes (Gym),Beginner,Power,Gym,10,Power,Jumping Jacks;Leg Swings;Burpees;Mountain Climbers,"[{""name"": ""Jumping Jacks"", ""duration"": 77, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Leg Swings"", ""duration"": 51, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Burpees"", ""duration"": 64, ""sets"": 3, ""rest"": 39, ""category"": ""power""}, {""name"": ""Mountain Climbers"", ""duration"": 48, ""sets"": 3, ""rest"": 39, ""category"": ""stamina""}]"
Intermediate Power - 20+ minutes (None),Intermediate,Power,None,12,Power,Leg Swings;Arm Circles;Jumping Jacks;Plyometric Push-ups;Mountain Climbers,"[{""name"": ""Leg Swings"", ""duration"": 70, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Arm Circles"", ""duration"": 78, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jumping Jacks"", ""duration"": 81, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Plyometric Push-ups"", ""duration"": 30, ""sets"": 3, ""rest"": 30, ""category"": ""power""}, {""name"": ""Mountain Climbers"", ""duration"": 98, ""sets"": 3, ""rest"": 30, ""category"": ""stamina""}]"
Beginner Fat Loss - 5-10 minutes (Gym),Beginner,Fat Loss,Gym,1,Fat Loss,Jumping Jacks,"[{""name"": ""Jumping Jacks"", ""duration"": 64, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}]"
Pro Fat Loss - 10-20 minutes (None),Pro,Fat Loss,None,16,Fat Loss,Leg Swings;Jumping Jacks;Tuck Jumps;HIIT Sprints,"[{""name"": ""Leg Swings"", ""duration"": 98, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jumping Jacks"", ""duration"": 78, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Tuck Jumps"", ""duration"": 40, ""sets"": 2, ""rest"": 24, ""category"": ""power""}, {""name"": ""HIIT Sprints"", ""duration"": 334, ""sets"": 2, ""rest"": 24, ""category"": ""stamina""}]"
Beginner Endurance - 20+ minutes (None),Beginner,Endurance,None,27,Endurance,Arm Circles;Butt Kicks;Jumping Jacks;Mountain Climbers;Circuit Training,"[{""name"": ""Arm Circles"", ""duration"": 39, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Butt Kicks"", ""duration"": 37, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jumping Jacks"", ""duration"": 44, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Mountain Climbers"", ""duration"": 52, ""sets"": 3, ""rest"": 39, ""category"": ""stamina""}, {""name"": ""Circuit Training"", ""duration"": 593, ""sets"": 2, ""rest"": 39, ""category"": ""stamina""}]"
Beginner Power - 20+ minutes (Kettlebell),Beginner,Power,Kettlebell,12,Power,Jumping Jacks;Leg Swings;Arm Circles;Jump Squats;Mountain Climbers,"[{""name"": ""Jumping Jacks"", ""duration"": 74, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Leg Swings"", ""duration"": 54, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Arm Circles"", ""duration"": 44, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jump Squats"", ""duration"": 24, ""sets"": 4, ""rest"": 39, ""category"": ""power""}, {""name"": ""Mountain Climbers"", ""duration"": 58, ""sets"": 4, ""rest"": 39, ""category"": ""stamina""}]"
Pro Fat Loss - 10-20 minutes (Gym),Pro,Fat Loss,Gym,16,Fat Loss,Leg Swings;High Knees;Shuttle Runs;Broad Jumps,"[{""name"": ""Leg Swings"", ""duration"": 79, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""High Knees"", ""duration"": 88, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Shuttle Runs"", ""duration"": 144, ""sets"": 2, ""rest"": 24, ""category"": ""stamina""}, {""name"": ""Broad Jumps"", ""duration"": 100, ""sets"": 4, ""rest"": 24, ""category"": ""power""}]"
Intermediate Endurance - 10-20 minutes (None),Intermediate,Endurance,None,15,Endurance,Leg Swings;Butt Kicks;Jumping Jacks;Shuttle Runs,"[{""name"": ""Leg Swings"", ""duration"": 68, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Butt Kicks"", ""duration"": 55, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jumping Jacks"", ""duration"": 101, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Shuttle Runs"", ""duration"": 198, ""sets"": 3, ""rest"": 30, ""category"": ""stamina""}]"
Pro Power - 20+ minutes (None),Pro,Power,None,15,Power,Leg Swings;Arm Circles;Jumping Jacks;Plyometric Push-ups;Mountain Climbers,"[{""name"": ""Leg Swings"", ""duration"": 106, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Arm Circles"", ""duration"": 75, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jumping Jacks"", ""duration"": 152, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Plyometric Push-ups"", ""duration"": 41, ""sets"": 3, ""rest"": 24, ""category"": ""power""}, {""name"": ""Mountain Climbers"", ""duration"": 104, ""sets"": 3, ""rest"": 24, ""category"": ""stamina""}]"
Beginner Stamina - 5-10 minutes (Kettlebell),Beginner,Stamina,Kettlebell,2,Stamina,Jumping Jacks;Arm Circles,"[{""name"": ""Jumping Jacks"", ""duration"": 53, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Arm Circles"", ""duration"": 59, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}]"
